# Pair Table for Huang Model2

P1P1
N 187 R 1.4 20.0
167	18	-0.028019	-0.01374
168	18.1	-0.026645	-0.01388
169	18.2	-0.025257	-0.0139
170	18.3	-0.023867	-0.01382
171	18.4	-0.022485	-0.01408
172	18.5	-0.021077	-0.01417
173	18.6	-0.01966	-0.01414
174	18.7	-0.018246	-0.01408
175	18.8	-0.016838	-0.01386
176	18.9	-0.015452	-0.01383
177	19	-0.014069	-0.01391
178	19.1	-0.012678	-0.01403
179	19.2	-0.011275	-0.01423
180	19.3	-0.009852	-0.01423
181	19.4	-0.008429	-0.01412
182	19.5	-0.007017	-0.01407
183	19.6	-0.00561	-0.01409
184	19.7	-0.004201	-0.0141
185	19.8	-0.002791	-0.01408
186	19.9	-0.001383	-0.01383
187	20	0	0

P1P2
N 187 R 1.4 20.0
1	1.4	7926.797498	33592.97766
2	1.5	4567.499733	18403.00945
3	1.6	2727.198788	10470.9124
4	1.7	1680.107548	6159.992886
5	1.8	1064.108259	3732.934974
6	1.9	690.8147615	2322.892624
7	2	458.5254991	1480.325488
8	2.1	310.4929503	963.9235696
9	2.2	214.1005934	640.073112
10	2.3	150.0932822	432.6880508
11	2.4	106.8244771	297.3232147
12	2.5	77.09215561	207.4053976
13	2.6	56.35161585	146.7045611
14	2.7	41.68115974	105.1116667
15	2.8	31.16999307	76.21521671
16	2.9	23.5484714	68.039934
17	3.0	16.744478	26.44204
18	3.1	14.100274	24.19161
19	3.2	11.681113	21.94107
20	3.3	9.487006	19.69106
21	3.4	7.5179	17.44701
22	3.5	5.773199	17.59397
23	3.6	4.013802	9.95033
24	3.7	3.018769	8.77487
25	3.8	2.141282	6.91845
26	3.9	1.449437	5.24946
27	4.0	0.924491	3.95306
28	4.1	0.529185	2.97369
29	4.2	0.231816	2.21723
30	4.3	0.010093	1.66987
31	4.4	-0.156894	1.27227
32	4.5	-0.284121	0.93103
33	4.6	-0.377224	0.70945
34	4.7	-0.448169	0.52778
35	4.8	-0.500947	0.30789
36	4.9	-0.531736	0.1803
37	5	-0.549766	0.08247
38	5.1	-0.558013	0.00382
39	5.2	-0.558395	-0.05672
40	5.3	-0.552723	-0.16369
41	5.4	-0.536354	-0.24348
42	5.5	-0.512006	-0.27556
43	5.6	-0.48445	-0.31125
44	5.7	-0.453325	-0.34366
45	5.8	-0.418959	-0.36762
46	5.9	-0.382197	-0.35305
47	6	-0.346892	-0.32523
48	6.1	-0.314369	-0.3046
49	6.2	-0.283909	-0.30476
50	6.3	-0.253433	-0.31072
51	6.4	-0.222361	-0.30559
52	6.5	-0.191802	-0.32982
53	6.6	-0.15882	-0.30733
54	6.7	-0.128087	-0.25934
55	6.8	-0.102153	-0.24831
56	6.9	-0.077322	-0.2412
57	7	-0.053202	-0.22972
58	7.1	-0.03023	-0.22735
59	7.2	-0.007495	-0.23318
60	7.3	0.015823	-0.23093
61	7.4	0.038916	-0.20611
62	7.5	0.059527	-0.16701
63	7.6	0.076228	-0.15105
64	7.7	0.091333	-0.1298
65	7.8	0.104313	-0.09389
66	7.9	0.113702	-0.06288
67	8	0.11999	-0.00684
68	8.1	0.120674	0.01604
69	8.2	0.11907	0.01389
70	8.3	0.117681	0.04463
71	8.4	0.113218	0.07329
72	8.5	0.105889	0.07688
73	8.6	0.098201	0.07705
74	8.7	0.090496	0.05939
75	8.8	0.084557	0.07025
76	8.9	0.077532	0.09338
77	9	0.068194	0.08468
78	9.1	0.059726	0.08908
79	9.2	0.050818	0.07207
80	9.3	0.043611	0.05176
81	9.4	0.038435	0.04991
82	9.5	0.033444	0.04918
83	9.6	0.028526	0.04031
84	9.7	0.024495	0.02899
85	9.8	0.021596	0.02961
86	9.9	0.018635	0.02326
87	10	0.016309	0.02134
88	10.1	0.014175	0.02248
89	10.2	0.011927	0.01068
90	10.3	0.010859	-0.00097
91	10.4	0.010956	-0.00754
92	10.5	0.01171	-0.01025
93	10.6	0.012735	-0.00519
94	10.7	0.013254	-0.01194
95	10.8	0.014448	-0.01598
96	10.9	0.016046	-0.0138
97	11	0.017426	-0.00579
98	11.1	0.018005	0.00513
99	11.2	0.017492	0.01134
100	11.3	0.016358	0.01546
101	11.4	0.014812	-0.00703
102	11.5	0.015515	-0.01846
103	11.6	0.017361	-0.00713
104	11.7	0.018074	-0.00503
105	11.8	0.018577	0.00509
106	11.9	0.018068	0.01447
107	12	0.016621	0.00899
108	12.1	0.015722	0.02381
109	12.2	0.013341	0.02674
110	12.3	0.010667	0.02404
111	12.4	0.008263	0.02405
112	12.5	0.005858	0.01427
113	12.6	0.004431	0.02916
114	12.7	0.001515	0.03175
115	12.8	-0.00166	0.03533
116	12.9	-0.005193	0.01688
117	13	-0.006881	0.00595
118	13.1	-0.007476	0.02156
119	13.2	-0.009632	0.0245
120	13.3	-0.012082	0.02196
121	13.4	-0.014278	0.02531
122	13.5	-0.016809	0.02591
123	13.6	-0.0194	0.00533
124	13.7	-0.019933	0.00662
125	13.8	-0.020595	0.02089
126	13.9	-0.022684	0.02513
127	14	-0.025197	0.02038
128	14.1	-0.027235	0.019
129	14.2	-0.029135	0.01664
130	14.3	-0.030799	0.00979
131	14.4	-0.031778	0.00472
132	14.5	-0.03225	0.00182
133	14.6	-0.032432	0.00022
134	14.7	-0.032454	0.00969
135	14.8	-0.033423	0.00656
136	14.9	-0.034079	-0.00581
137	15	-0.033498	0.00699
138	15.1	-0.034197	0.00503
139	15.2	-0.0347	-0.00855
140	15.3	-0.033845	-0.00103
141	15.4	-0.033742	0.00807
142	15.5	-0.034549	0.00566
143	15.6	-0.035115	0.0049
144	15.7	-0.035605	0.00358
145	15.8	-0.035963	-0.0005
146	15.9	-0.035913	0.00119
147	16	-0.036032	0.00234
148	16.1	-0.036266	-0.00322
149	16.2	-0.035944	-0.01365
150	16.3	-0.034579	-0.00725
151	16.4	-0.033854	0.00459
152	16.5	-0.034313	0.00053
153	16.6	-0.034366	-0.00263
154	16.7	-0.034103	-0.00344
155	16.8	-0.033759	-0.00468
156	16.9	-0.033291	-0.00729
157	17	-0.032562	-0.00736
158	17.1	-0.031826	-0.00433
159	17.2	-0.031393	-0.0061
160	17.3	-0.030783	-0.00675
161	17.4	-0.030108	-0.00839
162	17.5	-0.029269	-0.00981
163	17.6	-0.028288	-0.00989
164	17.7	-0.027299	-0.01069
165	17.8	-0.02623	-0.00872
166	17.9	-0.025358	-0.009
167	18	-0.024458	-0.01094
168	18.1	-0.023364	-0.01032
169	18.2	-0.022332	-0.01145
170	18.3	-0.021187	-0.01305
171	18.4	-0.019882	-0.01091
172	18.5	-0.018791	-0.01002
173	18.6	-0.017789	-0.0117
174	18.7	-0.016619	-0.01175
175	18.8	-0.015444	-0.012
176	18.9	-0.014244	-0.01284
177	19	-0.01296	-0.01283
178	19.1	-0.011677	-0.01276
179	19.2	-0.010401	-0.01291
180	19.3	-0.00911	-0.01376
181	19.4	-0.007734	-0.01359
182	19.5	-0.006375	-0.01307
183	19.6	-0.005068	-0.01277
184	19.7	-0.003791	-0.01352
