# Tabulated Bond Potential File (Huang Model)


Bond1
N 200 EQ 3.820000
183 4.3291 34.9087 -177.8620
184 4.3392 36.7277 -184.1428
185 4.3492 38.6105 -190.5549
186 4.3593 40.5584 -197.0996
187 4.3693 42.5728 -203.7783
188 4.3794 44.6549 -210.5923
189 4.3894 46.8063 -217.5430
190 4.3995 49.0281 -224.6318
191 4.4095 51.3219 -231.8601
192 4.4196 53.6891 -239.2292
193 4.4296 56.1310 -246.7404
194 4.4397 58.6492 -254.3952
195 4.4497 61.2450 -262.1950
196 4.4598 63.9199 -270.1410
197 4.4698 66.6755 -278.2347
198 4.4799 69.5131 -286.4774
199 4.4899 72.4343 -294.8705
200 4.5000 75.4406 -303.4153


Bond2
N 200 EQ 4.071700

1 2.5000 1474.2753 16446.6535
2 2.5101 1316.8610 14900.6408
3 2.5201 1174.3416 13481.0343
4 2.5302 1045.4916 12178.9972
5 2.5402 929.1717 10986.2098
6 2.5503 824.3235 9894.8453
7 2.5603 729.9652 8897.5459
8 2.5704 645.1865 7987.3997
9 2.5804 569.1443 7157.9191
10 2.5905 501.0589 6403.0193
11 2.6005 440.2097 5716.9983
12 2.6106 385.9315 5094.5172
13 2.6206 337.6112 4530.5813
14 2.6307 294.6841 4020.5226
15 2.6407 256.6308 3559.9821
16 2.6508 222.9744 3144.8932
17 2.6608 193.2774 2771.4664
18 2.6709 167.1388 2436.1734
19 2.6809 144.1923 2135.7332
20 2.6910 124.1030 1867.0976
21 2.7010 106.5657 1627.4383
22 2.7111 91.3024 1414.1340
23 2.7211 78.0607 1224.7584
24 2.7312 66.6115 1057.0684
25 2.7412 56.7474 908.9929
26 2.7513 48.2810 778.6229
27 2.7613 41.0433 664.2007
28 2.7714 34.8822 564.1107
29 2.7814 29.6613 476.8701
30 2.7915 25.2584 401.1206
31 2.8015 21.5643 335.6196
32 2.8116 18.4818 279.2329
33 2.8216 15.9245 230.9270
34 2.8317 13.8161 189.7623
35 2.8417 12.0891 154.8859
36 2.8518 10.6844 125.5261
37 2.8618 9.5499 100.9858
38 2.8719 8.6405 80.6372
39 2.8819 7.9169 63.9164
40 2.8920 7.3453 50.3182
41 2.9020 6.8965 39.3919
42 2.9121 6.5459 30.7364
43 2.9221 6.2723 23.9961
44 2.9322 6.0582 18.8573
45 2.9422 5.8888 15.0442
46 2.9523 5.7521 12.3156
47 2.9623 5.6383 10.4618
48 2.9724 5.5395 9.3014
49 2.9824 5.4496 8.6789
50 2.9925 5.3637 8.4616
51 3.0025 5.2785 8.5376
52 3.0126 5.1914 8.8135
53 3.0226 5.1009 9.2122
54 3.0327 5.0061 9.6711
55 3.0427 4.9065 10.1404
56 3.0528 4.8023 10.5814
57 3.0628 4.6940 10.9652
58 3.0729 4.5822 11.2712
59 3.0829 4.4678 11.4857
60 3.0930 4.3517 11.6012
61 3.1030 4.2349 11.6154
62 3.1131 4.1185 11.5297
63 3.1231 4.0035 11.3491
64 3.1332 3.8907 11.0811
65 3.1432 3.7810 10.7351
