# Tabulated Angle Potential File (Huang Model)


Angle1
N 200 EQ 180.00
109 97.6884 2262415.9445 494835.1371
110 98.5930 1854352.7542 410091.5255
111 99.4975 1516516.5216 339148.2369
112 100.4020 1237414.0149 279876.3742
113 101.3065 1007333.9304 230456.7940
114 102.2111 818086.2998 189337.8106
115 103.1156 662777.6651 155198.2883
116 104.0201 535617.4395 126915.4860
117 104.9246 431751.4185 103537.0879
118 105.8291 347118.8872 84256.9137
119 106.7337 278330.2028 68393.8610
120 107.6382 222562.1134 55373.6802
121 108.5427 177468.4138 44713.2296
122 109.4472 141103.8392 36006.8961
123 110.3518 111859.3664 28914.9067
124 111.2563 88407.3247 23153.2864
125 112.1608 69654.9264 18485.2465
126 113.0653 54705.0119 14713.8149
127 113.9698 42822.9608 11675.5420
128 114.8744 33408.8651 9235.1371
129 115.7789 25974.1822 7280.9059
130 116.6834 20122.1927 5720.8803
131 117.5879 15531.6843 4479.5412
132 118.4925 11943.3622 3495.0504
133 119.3970 9148.5621 2716.9187
134 120.3015 6979.8983 2104.0454
135 121.2060 5303.5385 1623.0752
136 122.1106 4012.8393 1247.0235
137 123.0151 3023.1184 954.1312
138 123.9196 2267.3738 726.9112
139 124.8241 1692.7885 551.3583
140 125.7286 1257.8869 416.2960
141 126.6332 930.2279 312.8381
142 127.5377 684.5403 233.9462
143 128.4422 501.2213 174.0675
144 129.3467 365.1315 128.8388
145 130.2513 264.6310 94.8466
146 131.1558 190.8128 69.4314
147 132.0603 136.8938 50.5310
148 132.9648 97.7344 36.5537
149 133.8693 69.4606 26.2769
150 134.7739 49.1680 18.7663
151 135.6784 34.6917 13.3116
152 136.5829 24.4271 9.3757
153 137.4874 17.1922 6.5551
154 138.3920 12.1220 4.5478
155 139.2965 8.5876 3.1300
156 140.2010 6.1347 2.1362
157 141.1055 4.4378 1.4452
158 142.0101 3.2652 0.9687
159 142.9146 2.4535 0.6431
160 143.8191 1.8884 0.4227
161 144.7236 1.4903 0.2749
162 145.6281 1.2050 0.1767
163 146.5327 0.9951 0.1123
164 147.4372 0.8359 0.0705
165 148.3417 0.7107 0.0437
166 149.2462 0.6087 0.0267
167 150.1508 0.5228 0.0161
168 151.0553 0.4484 0.0095
169 151.9598 0.3829 0.0056
170 152.8643 0.3245 0.0032
171 153.7688 0.2722 0.0018
172 154.6734 0.2254 0.0010
173 155.5779 0.1837 0.0005
174 156.4824 0.1469 0.0003
175 157.3869 0.1148 0.0001
176 158.2915 0.0874 0.0001
177 159.1960 0.0645 0.0000
178 160.1005 0.0459 0.0000
179 161.0050 0.0316 0.0000
180 161.9095 0.0212 0.0000
181 162.8141 0.0146 0.0000
182 163.7186 0.0115 0.0000
183 164.6231 0.0115 0.0000
184 165.5276 0.0144 0.0000
185 166.4322 0.0198 0.0000
186 167.3367 0.0273 0.0000
187 168.2412 0.0366 0.0000
188 169.1457 0.0472 0.0000
